name,level,version,timeSignatureTop,timeSignatureBottom,beatsPerMinute,patternsPerLap,ladyStart,ladyEnd,manStart,manEnd
American Waltz,Silver,2016,3,4,198,2,0,21,21,42
Argentine Tango,Gold,2016,4,4,96,1,0,40,40,76
Blues,PreGold,2016,4,4,88,2,0,19,19,38
Canasta Tango,Preliminary,2016,4,4,104,2,0,15,0,15
Cha Cha,PreBronze,2016,4,4,100,2,0,17,0,17
Dutch Waltz,Preliminary,2016,3,4,138,2,0,16,0,16
European Waltz,PreSilver,2016,3,4,135,2,0,25,25,50
Fiesta Tango,PreBronze,2016,4,4,108,2,0,17,0,17
Finnstep,International,2016,2,4,104,1,0,97,97,195
Fourteenstep,PreSilver,2016,4,4,112,2,0,14,14,28
Foxtrot,PreSilver,2016,4,4,100,2,0,15,15,33
Hickory Hoedown,Bronze,2016,4,4,104,2,0,25,25,50
Kilian,PreGold,2016,4,4,116,2,0,15,0,15
Paso Doble,PreGold,2016,4,4,112,1,0,32,32,61
Quickstep,Gold,2016,4,4,112,2,0,0,0,0
Rhythm Blues,Preliminary,2016,4,4,88,2,0,17,0,17
Rocker Foxtrot,Silver,2016,4,4,104,2,0,15,15,32
Starlight Waltz,PreGold,2016,6,8,174,1,0,0,0,0
Swing Dance,PreBronze,2016,4,4,96,1,15,46,0,31
Tango,Silver,2016,4,4,108,2,0,24,24,49
Ten-Fox,Bronze,2016,4,4,100,2,0,21,21,43
Viennese Waltz,Gold,2016,6,8,156,1,0,0,0,0
Westminster Waltz,Gold,2016,6,8,162,1,0,0,0,0
Willow Waltz,Bronze,2016,3,4,138,2,0,24,24,48
