index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,1,LFO,,,,,k,
2,,1,RFI,,ch,,,k,
3,,2,LFO,,,,,k,
4,,1,RFO,,,,,k,
5,,1,LFI,,ch,,,k,
6,,2,RFO,,,,,k,
7,,1,LFO,pr,ee,pr1,,k,
8,,1,RFI,prx,prx,pr1,,k,
9,,2,LFO,pr,ee,pr1,,k,
10,,1,RFO,cr,ee,,,k,
11,,3,LFI,,slchk,,,k,
12,,1,RFO,pr,ee,pr2,,k,
13,,1,LFI,prx,prx,pr2,,k,
14,,2,RFO,pr,ee,pr2,,k,
15,,1,LFO,cr,ee,,,k,
16,,3,RFI,,slchk,,,k,
17,,1,LFO,s,s_tt,3,,cl,
,,1_,LBI,tt,e,3,,cl,
18,,4,RBO,s,s_swr,,,cl,
19,,2,LBO,,,,,cl,
20,,4,RFO,s,s_swr,,,cl,
21a,,1,LFO,,,,,cl,
21b,,1,RFI,,ch,,,cl,
22,,1,LFO,pr,ee,pr3,,k,
23,,1,RFI,prx,prx,pr3,,k,
1,,1,LFO,,,,,k,
2,,1,RFI,,ch,,,k,
3,,2,LFO,,,,,k,
4,,1,RFO,,,,,k,
5,,1,LFI,,ch,,,k,
6,,2,RFO,,,,,k,
7,,1,LFO,pr,ee,pr1,,k,
8,,1,RFI,prx,prx,pr1,,k,
9,,2,LFO,pr,ee,pr1,,k,
10,,1,RFO,cr,ee,,,k,
11,,3,LFI,,slchk,,,k,
12,,1,RFO,pr,ee,pr2,,k,
13,,1,LFI,prx,prx,pr2,,k,
14,,2,RFO,pr,ee,pr2,,k,
15,,1,LFO,cr,ee,,,k,
16,,3,RFI,,slchk,,,k,
17a,,1,LFO,,,,,cl,
17b,,1,RFI,,ch,,,cl,
18,,4,LFO,s,s_swr,,,cl,
19,,1,RFO,s,s_tt,3,,cl,
,,1_,RBI,tt,e,3,,cl,
20,,4,LBO,s,s_swr,,,cl,
21,,2,RBO,,,,,cl,
22,,1,LFO,pr,ee,pr3,,k,
23,,1,RFI,prx,prx,pr3,,k,
